"Kind","Key","Count","Branches"
"same_tree","2dcffcf7fb2a86ef2777e17caa124f298f053a19","2","rescue/no-perder-nada-20260615-171019/stash/5;rescue/no-perder-nada-20260615-180121/stash/5"
"same_tree","ea26162125368e6e33fd13cafb9af13b273143d2","2","rescue/no-perder-nada-20260615-171019/stash/0;rescue/no-perder-nada-20260615-180121/stash/0"
"same_tree","e2674ed2bc9f2d45c726362db4f3f9e4cc243f7f","2","rescue/no-perder-nada-20260615-171019/stash/10;rescue/no-perder-nada-20260615-180121/stash/10"
"same_tree","a292a4a427ca019c51ea4642a63d2b674cc74d3f","2","rescue/no-perder-nada-20260615-171019/uncommitted/004-C-/tmp/S_Hospital_f6_global_design;rescue/no-perder-nada-20260615-180121/uncommitted/004"
"same_tree","df46bfb948faf5aa2fbcd23669d7f739a9b1e28e","2","rescue/no-perder-nada-20260615-171019/stash/17;rescue/no-perder-nada-20260615-180121/stash/17"
"same_tree","b0b9be29e7ed11b6973e13dde44fee7edde820c9","2","rescue/no-perder-nada-20260615-171019/stash/34;rescue/no-perder-nada-20260615-180121/stash/34"
"same_tree","02a0e350dd2e4e635e8ef04a890b9e4b1a95d19e","2","rescue/no-perder-nada-20260615-171019/stash/26;rescue/no-perder-nada-20260615-180121/stash/26"
"same_tree","dffd11e7b94a27d5b800094d0b3f3e470a56a19e","2","rescue/no-perder-nada-20260615-171019/stash/4;rescue/no-perder-nada-20260615-180121/stash/4"
"same_tree","36116b0e3937fbadb4193830aa17dc2487204148","2","rescue/no-perder-nada-20260615-171019/stash/29;rescue/no-perder-nada-20260615-180121/stash/29"
"same_tree","271542a7915c2a2ced1ae55c7179b1e648c7f59c","2","rescue/no-perder-nada-20260615-171019/stash/21;rescue/no-perder-nada-20260615-180121/stash/21"
"same_tree","a03e442ae7cba091fa068187d181d964ef933936","2","rescue/no-perder-nada-20260615-171019/stash/22;rescue/no-perder-nada-20260615-180121/stash/22"
